time,accel,temperature,pressure
20500,9.849800109863281,38.75,102023.0
20550,9.849837303161621,38.8125,102032.0
20600,9.854236602783203,38.8125,101992.75
20650,9.843005180358887,38.75,102019.5
20700,9.810413360595703,38.6875,101991.75
20750,9.819762229919434,38.8125,102041.0
20800,9.82069206237793,38.875,102034.75
20850,9.830804824829102,38.75,102059.75
20900,9.853845596313477,38.75,102010.75
20950,9.827973365783691,38.8125,102013.75
21000,9.828313827514648,38.8125,102044.75
21050,9.807477951049805,38.625,102033.5
21100,9.814475059509277,38.75,102031.5
21150,9.812474250793457,38.8125,102046.0
21200,9.838699340820312,38.875,102005.25
21250,9.843993186950684,38.6875,101994.0
21300,9.842824935913086,38.75,102013.5
21350,9.846769332885742,38.875,102009.75
21400,9.81262493133545,38.875,102017.0
21450,9.812905311584473,38.8125,102019.25
21500,9.810904502868652,38.875,102066.5
21550,9.82689094543457,38.8125,102028.5
21600,9.825345993041992,38.875,102044.25
21650,9.816020965576172,38.9375,101971.25
21700,9.812750816345215,38.6875,102049.25
21750,9.845675468444824,38.75,102002.5
21800,9.84615421295166,38.8125,102017.75
21850,9.834136009216309,38.8125,101998.75
21900,9.830390930175781,38.8125,102047.5
21950,9.82360553741455,38.75,102017.5
22000,9.827342987060547,38.75,102049.5
22050,9.81332015991211,38.6875,101999.25
22100,9.826223373413086,38.75,102018.5
22150,9.835753440856934,38.875,102034.5
22200,9.840792655944824,38.75,102038.75
22250,9.859349250793457,38.75,101988.0
22300,9.827343940734863,38.8125,102039.25
22350,9.81215763092041,38.8125,102039.5
22400,9.823665618896484,38.75,102028.0
22450,9.81271743774414,38.75,102002.5
22500,9.853900909423828,38.8125,102023.5
22550,9.841402053833008,38.8125,101992.0
22600,9.837007522583008,38.8125,102023.25
22650,9.856363296508789,38.8125,102030.5
22700,9.869344711303711,38.875,101996.5
22750,9.847295761108398,38.875,101990.75
22800,9.814475059509277,38.8125,102068.5
22850,9.817436218261719,38.875,102031.5
22900,9.829545974731445,38.6875,102036.5
22950,9.849320411682129,38.75,102027.25
23000,9.832503318786621,38.9375,102028.25
23050,9.830255508422852,38.8125,101985.0
23100,9.868020057678223,38.8125,102021.75
23150,9.854595184326172,38.8125,102052.25
23200,9.842339515686035,39.0,102027.5
23250,9.817329406738281,38.8125,102033.0
23300,9.824973106384277,38.875,101982.25
23350,9.826521873474121,38.8125,102044.75
23400,9.845464706420898,39.0,102004.75
23450,9.83818244934082,38.8125,102040.0
23500,9.822784423828125,38.75,102011.0
23550,9.846806526184082,38.875,102054.0
23600,9.863785743713379,38.75,102024.25
23650,9.843634605407715,38.8125,102058.5
23700,9.816805839538574,38.75,102018.0
23750,9.834956169128418,38.9375,101991.25
23800,9.830194473266602,38.75,102044.25
23850,9.812432289123535,38.9375,102027.75
23900,9.848748207092285,38.875,102006.5
23950,9.84442138671875,38.8125,102038.75
24000,9.837249755859375,38.875,102032.0
24050,9.825887680053711,38.875,102001.75
24100,9.84196662902832,38.75,102044.5
24150,9.816394805908203,38.8125,101992.25
24200,9.83076286315918,38.875,102076.5
24250,9.8403959274292,38.9375,102010.25
24300,9.822699546813965,39.0,101996.0
24350,9.823497772216797,38.9375,102032.0
24400,9.820672988891602,38.875,102006.5
24450,9.817464828491211,38.8125,102022.25
24500,9.843006134033203,38.75,102035.5
24550,9.763638496398926,38.875,102019.75
24600,9.843303680419922,38.8125,102024.0
24650,9.82336711883545,38.9375,102038.75
24700,9.809651374816895,38.875,102050.25
24750,9.864952087402344,38.875,102018.25
24800,17.278377532958984,38.875,102046.5
24850,53.47591781616211,38.75,102027.25
24900,58.39949417114258,38.9375,102031.0
24950,64.8763427734375,38.9375,102043.5
25000,67.4798355102539,38.9375,102004.25
25050,56.429779052734375,38.875,101983.75
25100,55.30711364746094,38.8125,101994.5
25150,47.62395477294922,38.75,101968.0
25200,44.855224609375,38.8125,101938.25
25250,45.28273010253906,38.9375,101933.0
25300,42.137168884277344,38.875,101958.25
25350,40.25039291381836,38.9375,101877.75
25400,38.97603988647461,38.75,101875.5
25450,38.21339797973633,39.0,101857.0
25500,37.567989349365234,38.8125,101790.25
25550,37.23355484008789,38.875,101814.0
